q_A^-1,E_v_eV,E_c1_eV,E_c2_eV,E_c3_eV
-1.277999999999999969e-01,-2.405557755166121414e-01,3.131415061251286575e-02,4.404257005158985355e-02,4.404257005158983967e-02
-1.275000000000000022e-01,-2.392870514706521290e-01,3.126109487968181666e-02,4.392982661932385430e-02,4.392982661932384736e-02
-1.272000000000000075e-01,-2.380213091498295797e-01,3.120816383717468778e-02,4.381734815399621757e-02,4.381734815399620370e-02
-1.269000000000000128e-01,-2.367585485541443824e-01,3.115535748499149299e-02,4.370513465560691563e-02,4.370513465560690869e-02
-1.265999999999999903e-01,-2.354987696835964261e-01,3.110267582313221146e-02,4.359318612415595540e-02,4.359318612415594846e-02
-1.262999999999999956e-01,-2.342419725381860440e-01,3.105011885159687096e-02,4.348150255964334382e-02,4.348150255964333688e-02
-1.260000000000000009e-01,-2.329881571179130695e-01,3.099768657038545067e-02,4.337008396206908784e-02,4.337008396206908090e-02
-1.257000000000000062e-01,-2.317373234227773915e-01,3.094537897949795752e-02,4.325893033143316663e-02,4.325893033143316663e-02
-1.254000000000000115e-01,-2.304894714527791211e-01,3.089319607893439845e-02,4.314804166773559407e-02,4.314804166773558713e-02
-1.250999999999999890e-01,-2.292446012079182582e-01,3.084113786869475959e-02,4.303741797097635630e-02,4.303741797097635630e-02
-1.247999999999999943e-01,-2.280027126881947475e-01,3.078920434877904788e-02,4.292705924115548105e-02,4.292705924115547411e-02
-1.244999999999999996e-01,-2.267638058936086443e-01,3.073739551918727025e-02,4.281696547827295446e-02,4.281696547827294058e-02
-1.242000000000000048e-01,-2.255278808241600041e-01,3.068571137991941283e-02,4.270713668232876264e-02,4.270713668232875571e-02
-1.238999999999999962e-01,-2.242949374798486606e-01,3.063415193097548950e-02,4.259757285332291254e-02,4.259757285332290561e-02
-1.236000000000000015e-01,-2.230649758606747801e-01,3.058271717235548637e-02,4.248827399125541804e-02,4.248827399125541110e-02
-1.232999999999999929e-01,-2.218379959666381962e-01,3.053140710405941732e-02,4.237924009612625831e-02,4.237924009612625137e-02
-1.229999999999999982e-01,-2.206139977977391309e-01,3.048022172608726849e-02,4.227047116793544029e-02,4.227047116793544029e-02
-1.227000000000000035e-01,-2.193929813539773899e-01,3.042916103843905373e-02,4.216196720668298481e-02,4.216196720668297787e-02
-1.223999999999999949e-01,-2.181749466353530287e-01,3.037822504111475919e-02,4.205372821236886410e-02,4.205372821236885716e-02
-1.221000000000000002e-01,-2.169598936418661028e-01,3.032741373411439872e-02,4.194575418499309899e-02,4.194575418499308511e-02
-1.217999999999999916e-01,-2.157478223735164735e-01,3.027672711743795847e-02,4.183804512455566865e-02,4.183804512455565477e-02
-1.214999999999999969e-01,-2.145387328303043073e-01,3.022616519108545230e-02,4.173060103105658697e-02,4.173060103105658003e-02
-1.212000000000000022e-01,-2.133326250122295487e-01,3.017572795505686634e-02,4.162342190449585394e-02,4.162342190449584006e-02
-1.209000000000000075e-01,-2.121294989192921976e-01,3.012541540935221446e-02,4.151650774487345569e-02,4.151650774487345569e-02
-1.205999999999999989e-01,-2.109293545514921431e-01,3.007522755397148972e-02,4.140985855218940609e-02,4.140985855218940609e-02
-1.202999999999999903e-01,-2.097321919088294961e-01,3.002516438891468520e-02,4.130347432644370514e-02,4.130347432644369821e-02
-1.199999999999999956e-01,-2.085380109913043400e-01,2.997522591418181476e-02,4.119735506763635285e-02,4.119735506763634592e-02
-1.197000000000000008e-01,-2.073468117989165083e-01,2.992541212977287146e-02,4.109150077576734922e-02,4.109150077576734228e-02
-1.194000000000000061e-01,-2.061585943316660841e-01,2.987572303568785531e-02,4.098591145083669424e-02,4.098591145083668036e-02
-1.190999999999999975e-01,-2.049733585895530119e-01,2.982615863192675937e-02,4.088058709284436709e-02,4.088058709284436015e-02
-1.187999999999999889e-01,-2.037911045725773473e-01,2.977671891848959751e-02,4.077552770179038860e-02,4.077552770179038860e-02
-1.184999999999999942e-01,-2.026118322807391181e-01,2.972740389537636280e-02,4.067073327767476570e-02,4.067073327767475877e-02
-1.181999999999999995e-01,-2.014355417140382409e-01,2.967821356258704829e-02,4.056620382049749146e-02,4.056620382049748452e-02
-1.179000000000000048e-01,-2.002622328724747991e-01,2.962914792012167481e-02,4.046193933025855199e-02,4.046193933025853812e-02
-1.175999999999999962e-01,-1.990919057560486816e-01,2.958020696798021459e-02,4.035793980695796118e-02,4.035793980695794730e-02
-1.173000000000000015e-01,-1.979245603647599994e-01,2.953139070616268846e-02,4.025420525059571902e-02,4.025420525059570515e-02
-1.169999999999999929e-01,-1.967601966986086415e-01,2.948269913466908948e-02,4.015073566117181164e-02,4.015073566117179776e-02
-1.166999999999999982e-01,-1.955988147575947467e-01,2.943413225349941070e-02,4.004753103868625985e-02,4.004753103868625291e-02
-1.164000000000000035e-01,-1.944404145417182594e-01,2.938569006265367295e-02,3.994459138313905672e-02,3.994459138313904284e-02
-1.160999999999999949e-01,-1.932849960509790688e-01,2.933737256213184846e-02,3.984191669453018836e-02,3.984191669453018142e-02
-1.158000000000000002e-01,-1.921325592853773967e-01,2.928917975193396500e-02,3.973950697285966865e-02,3.973950697285966172e-02
-1.155000000000000054e-01,-1.909831042449130489e-01,2.924111163205999481e-02,3.963736221812749760e-02,3.963736221812749067e-02
-1.151999999999999968e-01,-1.898366309295860810e-01,2.919316820250995870e-02,3.953548243033366133e-02,3.953548243033366133e-02
-1.149000000000000021e-01,-1.886931393393964929e-01,2.914534946328384973e-02,3.943386760947818065e-02,3.943386760947818065e-02
-1.145999999999999935e-01,-1.875526294743443123e-01,2.909765541438166792e-02,3.933251775556104862e-02,3.933251775556104168e-02
-1.142999999999999988e-01,-1.864151013344295393e-01,2.905008605580341324e-02,3.923143286858226525e-02,3.923143286858225137e-02
-1.140000000000000041e-01,-1.852805549196521462e-01,2.900264138754908572e-02,3.913061294854181665e-02,3.913061294854180971e-02
-1.136999999999999955e-01,-1.841489902300121329e-01,2.895532140961868534e-02,3.903005799543970977e-02,3.903005799543970283e-02
