u,kx_A^-1,ky_A^-1,E_v_eV,E_c1_periodic_chart_eV
-1.044999999999999929e+00,9.273910516952920124e-01,5.354294733403269779e-01,-1.896588975283660616e+01,2.147304913555236200e-02
-1.043750000000000178e+00,9.262817322554652844e-01,5.347890074631257429e-01,-1.892047222036112331e+01,2.139234968445343638e-02
-1.042499999999999982e+00,9.251724128156382232e-01,5.341485415859243968e-01,-1.887510904758936903e+01,2.131392345732911753e-02
-1.041250000000000009e+00,9.240630933758112731e-01,5.335080757087230507e-01,-1.882980023452135754e+01,2.123777045417941933e-02
-1.040000000000000036e+00,9.229537739359844339e-01,5.328676098315217047e-01,-1.878454578115709239e+01,2.116389067500434179e-02
-1.038750000000000062e+00,9.218444544961575948e-01,5.322271439543203586e-01,-1.873934568749657004e+01,2.109228411980387796e-02
-1.037500000000000089e+00,9.207351350563306447e-01,5.315866780771190125e-01,-1.869419995353978337e+01,2.102295078857803479e-02
-1.036250000000000115e+00,9.196258156165038056e-01,5.309462121999176665e-01,-1.864910857928673948e+01,2.095589068132681226e-02
-1.035000000000000142e+00,9.185164961766769665e-01,5.303057463227163204e-01,-1.860407156473743839e+01,2.089110379805020346e-02
-1.033749999999999947e+00,9.174071767368497943e-01,5.296652804455148633e-01,-1.855908890989186588e+01,2.082859013874820142e-02
-1.032499999999999973e+00,9.162978572970229552e-01,5.290248145683135172e-01,-1.851416061475004327e+01,2.076834970342082698e-02
-1.031250000000000000e+00,9.151885378571961160e-01,5.283843486911121712e-01,-1.846928667931196344e+01,2.071038249206807319e-02
-1.030000000000000027e+00,9.140792184173691659e-01,5.277438828139109361e-01,-1.842446710357762285e+01,2.065468850468994005e-02
-1.028750000000000053e+00,9.129698989775423268e-01,5.271034169367095901e-01,-1.837970188754702505e+01,2.060126774128642063e-02
-1.027500000000000080e+00,9.118605795377154877e-01,5.264629510595082440e-01,-1.833499103122017004e+01,2.055012020185752186e-02
-1.026250000000000107e+00,9.107512600978885375e-01,5.258224851823068979e-01,-1.829033453459705072e+01,2.050124588640323681e-02
-1.024999999999999911e+00,9.096419406580614764e-01,5.251820193051054408e-01,-1.824573239767766708e+01,2.045464479492356547e-02
